906	0.00000047
1006	0.00000038
1106	0.00000028
1206	0.00000028
1306	0.00000025
1406	0.00000022
1506	0.00000028
1606	0.00000052
1633	0.00000048
1678	0.00000048
1706	0.00000040
1733	0.00000047
1754	0.00000063
1778	0.00000111
1806	0.00000130
1823	0.00000135
1833	0.00000494
1856	0.00000325
1866	0.00000299
1876	0.00000290
1886	0.00000331
1896	0.00000423
1906	0.00000496
1916	0.00000715
1921	0.00000928
1926	0.00001130
1936	0.00001037
1946	0.00000921
1956	0.00001100
1966	0.00001800
1976	0.00002500
1986	0.00003500
1996	0.00007100
2006	0.00011704
2009	0.00013361
2011	0.00015103
2014	0.00016833
2015	0.00016840
2016	0.00014277
2017	0.00010960
2018	0.00005095
2019	0.00002800
2021	0.00000090
2023	0.00000042
2026	0.00000026
2036	0.00000014
2046	0.00000010
